participant,condition,session_date,reaction_ms,accuracy,correct
P01,congruent,2026-01-01,415,0.976,true
P02,incongruent,2026-01-02,282,0.892,false
P03,neutral,2026-01-03,345,0.932,true
P04,congruent,2026-01-04,279,0.962,true
P05,incongruent,2026-01-05,295,0.976,true
P06,neutral,2026-01-06,333,0.965,true
P07,congruent,2026-01-07,313,0.906,true
P08,incongruent,2026-01-08,212,0.986,true
P01,neutral,2026-01-09,192,0.906,true
P02,congruent,2026-01-10,294,0.946,true
P03,incongruent,2026-01-11,437,0.945,true
P04,neutral,2026-01-12,401,0.880,false
P05,congruent,2026-01-13,266,0.990,true
P06,incongruent,2026-01-14,395,0.991,true
P07,neutral,2026-01-15,292,0.908,true
P08,congruent,2026-01-16,362,0.981,true
P01,incongruent,2026-01-17,522,0.888,false
P02,neutral,2026-01-18,704,0.991,true
P03,congruent,2026-01-19,395,0.994,true
P04,incongruent,2026-01-20,554,0.959,true
P05,neutral,2026-01-21,337,0.986,true
P06,congruent,2026-01-22,369,0.876,false
P07,incongruent,2026-01-23,235,0.950,true
P08,neutral,2026-01-24,352,0.931,true
P01,congruent,2026-01-25,617,0.953,true
P02,incongruent,2026-01-26,592,0.993,true
P03,neutral,2026-01-27,279,0.971,true
P04,congruent,2026-01-28,326,0.962,true
P05,incongruent,2026-01-01,537,0.947,true
P06,neutral,2026-01-02,414,0.909,true
P07,congruent,2026-01-03,203,0.947,true
P08,incongruent,2026-01-04,386,0.921,true
P01,neutral,2026-01-05,362,0.977,true
P02,congruent,2026-01-06,449,0.958,true
P03,incongruent,2026-01-07,230,0.943,true
P04,neutral,2026-01-08,166,0.948,true
P05,congruent,2026-01-09,275,0.996,true
P06,incongruent,2026-01-10,589,0.971,true
P07,neutral,2026-01-11,449,0.993,true
P08,congruent,2026-01-12,393,0.917,true
P01,incongruent,2026-01-13,336,0.956,true
P02,neutral,2026-01-14,257,0.923,true
P03,congruent,2026-01-15,219,0.992,true
P04,incongruent,2026-01-16,289,0.894,false
P05,neutral,2026-01-17,486,0.979,true
P06,congruent,2026-01-18,441,0.970,true
P07,incongruent,2026-01-19,539,0.985,true
P08,neutral,2026-01-20,319,0.875,false
P01,congruent,2026-01-21,301,0.915,true
P02,incongruent,2026-01-22,497,0.916,true
P03,neutral,2026-01-23,351,0.950,true
P04,congruent,2026-01-24,865,0.879,false
